code_muni,ano,serie,value
2300804,2023,PIB,101191
2300903,2021,PIB,120978
2300903,2023,PIB,166864
2301000,2021,PIB,3854401
2301000,2023,PIB,4851008
2301109,2021,PIB,1706227
2301109,2023,PIB,1966473
2301208,2021,PIB,266422
2301208,2023,PIB,336284
2301257,2021,PIB,106784
2301257,2023,PIB,143424
2301307,2021,PIB,207982
2301307,2023,PIB,259168
2301406,2021,PIB,151645
2301406,2023,PIB,191055
2301505,2021,PIB,70224
2301505,2023,PIB,88078
2301604,2021,PIB,237259
2301604,2023,PIB,309804
2301703,2021,PIB,216792
2301703,2023,PIB,291950
2301802,2021,PIB,67541
2301802,2023,PIB,72488
2301851,2021,PIB,260031
2301851,2023,PIB,318579
2301901,2021,PIB,1345205
2301901,2023,PIB,1646404
2301950,2021,PIB,240016
2301950,2023,PIB,289445
2302008,2021,PIB,242027
2302008,2023,PIB,286557
2302057,2021,PIB,133335
2302057,2023,PIB,169758
2302107,2021,PIB,448272
2302107,2023,PIB,578203
2302206,2021,PIB,1059006
2302206,2023,PIB,1445505
2302305,2021,PIB,322244
2302305,2023,PIB,381568
2302404,2021,PIB,539218
2302404,2023,PIB,717721
2302503,2021,PIB,817034
2302503,2023,PIB,1263863
2302602,2021,PIB,839500
2302602,2023,PIB,982887
2302701,2021,PIB,292357
2302701,2023,PIB,370107
2302800,2021,PIB,911356
2302800,2023,PIB,1194867
2302909,2021,PIB,176809
2302909,2023,PIB,226541
2303006,2021,PIB,186169
2303006,2023,PIB,209728
2303105,2021,PIB,193105
2303105,2023,PIB,244538
2303204,2021,PIB,253127
2303204,2023,PIB,295136
2303303,2021,PIB,180984
2303303,2023,PIB,229771
2303402,2021,PIB,166772
2303402,2023,PIB,210865
2303501,2021,PIB,1074377
2303501,2023,PIB,1334364
2303600,2021,PIB,154108
2303600,2023,PIB,151959
2303659,2021,PIB,112081
2303659,2023,PIB,137704
2303709,2021,PIB,10422701
2303709,2023,PIB,9873557
2303808,2021,PIB,247325
2303808,2023,PIB,304070
2303907,2021,PIB,110318
2303907,2023,PIB,141211
2303931,2021,PIB,178989
2303931,2023,PIB,211479
2303956,2021,PIB,260273
2303956,2023,PIB,268766
2304004,2021,PIB,225090
2304004,2023,PIB,265519
2304103,2021,PIB,952649
2304103,2023,PIB,1258625
2304202,2021,PIB,1871587
2304202,2023,PIB,2445567
2304236,2021,PIB,224437
2304236,2023,PIB,282767
2304251,2021,PIB,372681
2304251,2023,PIB,565663
2304269,2021,PIB,100883
2304269,2023,PIB,124422
