"especificacao","tratamento","outcome","n_obs","coef_ss","se_ss","t_stat","p_value","f_stat","r2_ss","erro"
"Amostra completa + FE Estado (sem lag espacial)","Densidade de ferrovias (km/1000km²)","PIB Valor Adicionado (2003)",1048,0.026923121206295,0.00789077827377229,3.41197284630126,0.000644945374031147,38.4207360852758,0.160276521050077,NA
"Amostra completa + FE Estado (sem lag espacial)","Distância até ferrovia (km)","PIB Agropecuária (2003)",1048,0.00157478303347632,0.000906449687061721,1.73730881697474,0.0823326761005196,2173.50278910788,0.211614154685253,NA
"Amostra completa + FE Estado (sem lag espacial)","Dummy atendimento (≤25km)","PIB Agropecuária (2003)",1048,0.279314634164642,0.163838486134254,1.70481698625904,0.0882285624993115,193.740813884716,0.209007985576576,NA
"Amostra completa + FE Estado (sem lag espacial)","Densidade de ferrovias (km/1000km²)","PIB Agropecuária (2003)",1048,0.00842931472351718,0.0040763520486675,2.06785739378732,0.0386534348477272,38.4207360852758,0.212343334144535,NA
"Amostra completa + FE Estado (sem lag espacial)","Distância até ferrovia (km)","PIB Indústria (2003)",1048,-0.00317720208487445,0.00114042927317469,-2.78597030049032,0.0053367761102967,2173.50278910788,0.0881461338285381,NA
"Amostra completa + FE Estado (sem lag espacial)","Dummy atendimento (≤25km)","PIB Indústria (2003)",1048,2.28422925713681,0.338069249404351,6.7566904152372,1.41180400703433e-11,193.740813884716,0.136650079939369,NA
"Amostra completa + FE Estado (sem lag espacial)","Densidade de ferrovias (km/1000km²)","PIB Indústria (2003)",1048,0.0479124955106393,0.013222217773231,3.6236353335248,0.000290491096715195,38.4207360852758,0.145862511298873,NA
"Dist ≤200km + FE Estado","Distância até ferrovia (km)","População (2003)",999,-0.0062396802104948,0.00203710579659999,-3.06301234865125,0.00219121017498081,209.371932422432,0.175232803658804,NA
"Dist ≤200km + FE Estado","Dummy atendimento (≤25km)","População (2003)",999,0.814241868151818,0.21431006459173,3.79936364492719,0.000145068101250256,93.39124383217,0.18320755844428,NA
"Dist ≤200km + FE Estado","Densidade de ferrovias (km/1000km²)","População (2003)",999,0.0217998856636765,0.00731142673686387,2.9816185606788,0.00286728999458785,27.5973546113066,0.209662526756015,NA
