code_amc,ano,pop_rural,pop_urbana,pop_total,tx_urbanizacao
3040,2000,9366,10825,20191,0.5361299588925759
3040,2007,9635,12927,22562,0.57295452530804
3040,2010,8988,13117,22105,0.5933951594661842
3040,2022,7999,13073,21072,0.6203967350037966
3041,1940,17622,964,18586,0.05186699666415582
3041,1950,25619,1700,27319,0.06222775357809583
3041,1960,35895,3611,39506,0.09140383739178859
3041,1970,34733,10264,44997,0.2281040958286108
3041,1980,36051,16595,52646,0.3152186300953539
3041,1991,28168,28694,56862,0.5046252330202947
3041,1996,25873,33648,59521,0.5653130827775071
3041,2000,24091,37231,61322,0.6071393627083266
3041,2007,22830,44819,67649,0.662522727608686
3041,2010,20468,52882,73350,0.7209543285616905
3041,2022,20013,61373,81386,0.7540977563708746
3042,1940,13031,641,13672,0.04688414277355178
3042,1950,15595,610,16205,0.03764270286948473
3042,1960,24823,1057,25880,0.040842349304482224
3042,1970,13901,2759,16660,0.1656062424969988
3042,1980,12893,11577,24470,0.47310993052717615
3042,1991,8617,31052,39669,0.7827774836774307
3042,1996,8561,32943,41504,0.7937307247494217
3042,2000,7467,34747,42214,0.8231155540815843
3042,2007,7114,36917,44031,0.8384320138084531
3042,2010,8021,38729,46750,0.828427807486631
3042,2022,7164,34494,41658,0.8280282298718133
3043,1940,25008,2666,27674,0.09633591096335911
3043,1950,21179,4634,25813,0.1795219463061248
3043,1960,22530,2959,25489,0.11608929342069128
3043,1970,18344,4480,22824,0.19628461268839817
3043,1980,23654,7711,31365,0.2458472820022318
3043,1991,21577,13587,35164,0.3863894892503697
3043,1996,20097,17198,37295,0.46113420029494573
3043,2000,17976,22882,40858,0.5600372020167409
3043,2007,18793,25154,43947,0.5723712653878535
3043,2010,18343,29315,47658,0.6151118385160939
3043,2022,16583,31204,47787,0.652980936237889
3044,1940,25989,2967,28956,0.10246581019477828
3044,1950,30400,3416,33816,0.10101726993139343
3044,1960,41838,4776,46614,0.10245848886600592
3044,1970,25562,8318,33880,0.24551357733175916
3044,1980,27822,10274,38096,0.26968710625787484
3044,1991,23840,17492,41332,0.42320720023226555
3044,1996,20435,20392,40827,0.4994733877091141
3044,2000,18481,24386,42867,0.5688758252268645
3044,2007,18657,25937,44594,0.581625330761986
3044,2010,17095,26497,43592,0.6078408882363736
3044,2022,14809,26951,41760,0.6453783524904214
3045,1960,16905,2765,19670,0.14056939501779359
3045,1970,10150,6165,16315,0.3778731228930432
3045,1980,9462,9039,18501,0.4885681855034863
3045,1991,8868,10858,19726,0.5504410422792254
3045,1996,7708,12226,19934,0.6133239690980234
3045,2000,7919,14037,21956,0.6393241027509564
3045,2007,7070,14409,21479,0.6708412868383072
3045,2010,7420,15261,22681,0.6728539306027072
3045,2022,6620,16433,23053,0.7128356396130655
3046,1960,13210,1399,14609,0.0957628858922582
3046,1970,13598,1815,15413,0.11775773697528061
3046,1980,6089,1872,7961,0.23514633839969853
3046,1991,4814,2725,7539,0.3614537737100411
3046,1996,4801,3613,8414,0.4294033753268362
3046,2000,5223,4190,9413,0.44512907680866887
3046,2007,5432,4952,10384,0.4768875192604006
3046,2010,5309,5340,10649,0.5014555357310546
3046,2022,4608,5615,10223,0.549251687371613
3047,1960,20202,1199,21401,0.0560254193729265
3047,1970,20942,2268,23210,0.0977165015079707
3047,1980,37552,5403,42955,0.1257827959492492
3047,1991,23778,6789,30567,0.22210226715084896
3047,1996,20104,7595,27699,0.274197624462977
3047,2000,18523,13772,32295,0.42644372193838054
3047,2007,14557,13503,28060,0.48121881682109763
3047,2010,15888,14611,30499,0.4790648873733565
3047,2022,14105,14400,28505,0.5051745307840729
3048,1940,13313,1204,14517,0.08293724598746298
3048,1950,17710,1276,18986,0.06720741599073002
3048,1960,19950,2114,22064,0.09581218274111675
3048,1970,15479,2352,17831,0.13190510907969266
3048,1980,20115,4108,24223,0.16959088469636296
3048,1991,21430,6628,28058,0.236224962577518
3048,1996,19683,7729,27412,0.2819568072377061
3048,2000,18401,10125,28526,0.35493935357217976
3048,2007,16614,12050,28664,0.42038794306447114
3048,2010,16203,12132,28335,0.4281630492323981
3048,2022,15689,14504,30193,0.4803762461497698
3049,1970,6543,702,7245,0.0968944099378882
3049,1980,7968,1828,9796,0.18660677827684768
3049,1991,9476,2952,12428,0.2375281622143547
3049,1996,9350,4095,13445,0.3045741911491261
3049,2000,7719,7486,15205,0.49233804669516607
3049,2007,7625,8782,16407,0.5352593405253855
3049,2010,7302,9229,16531,0.5582844353033695
3049,2022,7219,10442,17661,0.5912462487967839
3050,1970,5145,3287,8432,0.38982447817836813
3050,1980,6729,5525,12254,0.450873184266362
3050,1991,7647,7923,15570,0.5088631984585742
3050,1996,7464,8399,15863,0.5294710962617412
3050,2000,5468,9128,14596,0.6253768155659085
3050,2007,5509,8977,14486,0.61970178102996
3050,2010,5594,9504,15098,0.6294873493177905
3050,2022,6902,10074,16976,0.5934260131950989
3051,1960,11768,2367,14135,0.1674566678457729
3051,1970,13594,2287,15881,0.1440085636924627
3051,1980,13569,5044,18613,0.27099339171546766
3051,1991,10529,6004,16533,0.363152482912962
3051,1996,9693,7167,16860,0.42508896797153023
3051,2000,9263,7527,16790,0.448302561048243
3051,2007,9031,7413,16444,0.4508027243979567
3051,2010,9712,7770,17482,0.44445715593181556
3051,2022,8988,8218,17206,0.47762408462164363
3052,1970,8729,1993,10722,0.18587950009326618
3052,1980,8857,3194,12051,0.2650402456227699
3052,1991,5885,4382,10267,0.4268043245349177
3052,1996,4477,4903,9380,0.5227078891257996
3052,2000,3242,5858,9100,0.6437362637362637
3052,2007,3341,6579,9920,0.6632056451612903
3052,2010,3575,6630,10205,0.6496815286624203
3052,2022,2830,7401,10231,0.7233896979767374
3053,1970,19211,1079,20290,0.05317890586495811
3053,1980,20095,1703,21798,0.0781264336177631
3053,1991,19595,3148,22743,0.13841621597854284
3053,1996,18005,3875,21880,0.17710237659963438
3053,2000,14011,9189,23200,0.39607758620689654
3053,2007,14901,10027,24928,0.40223844672657255
3053,2010,15393,10854,26247,0.41353297519716536
3053,2022,12939,11198,24137,0.46393503749430337
3054,1960,23478,3882,27360,0.1418859649122807
3054,1970,14912,5528,20440,0.27045009784735813
3054,1980,20715,8160,28875,0.2825974025974026
3054,1991,23126,11278,34404,0.3278107196837577
3054,1996,24586,14012,38598,0.3630239908803565
3054,2000,19252,20310,39562,0.5133714170163288
3054,2007,18298,21143,39441,0.5360665297533024
3054,2010,18444,22500,40944,0.5495310668229777
3054,2022,17730,23367,41097,0.5685816482954961
3055,1970,3991,2021,6012,0.3361610113107119
3055,1980,3271,2305,5576,0.4133787661406026
3055,1991,3204,2687,5891,0.4561195043286369
3055,1996,3131,2901,6032,0.48093501326259946
3055,2000,3082,2998,6080,0.4930921052631579
3055,2007,3259,2995,6254,0.47889350815478093
3055,2010,3228,2912,6140,0.4742671009771987
3055,2022,3180,2843,6023,0.47202390835131997
3056,1940,21558,1266,22824,0.055467928496319666
3056,1950,22269,2733,25002,0.10931125509959204
3056,1960,25521,2926,28447,0.10285794635638204
3056,1970,7643,2027,9670,0.209617373319545
3056,1980,9625,2789,12414,0.22466570001611083
3056,1991,7690,4670,12360,0.37783171521035597
3056,1996,7701,5056,12757,0.39633142588382847
3056,2000,7382,5259,12641,0.4160272130369433
3056,2007,7264,5123,12387,0.4135787519173327
3056,2010,5172,6909,12081,0.5718897442264713
3056,2022,4713,5577,10290,0.5419825072886297
3057,1940,13957,1979,15936,0.12418423694779117
3057,1950,8931,1213,10144,0.11957807570977919
3057,1960,11438,1495,12933,0.11559576277739117
3057,1970,14022,2220,16242,0.13668267454746952
3057,1980,15600,2725,18325,0.14870395634379263
3057,1991,16558,3513,20071,0.17502864829854017
3057,1996,14492,4506,18998,0.2371828613538267
3057,2000,15026,6240,21266,0.293426126210853
3057,2007,16531,7744,24275,0.31901132852729147
3057,2010,15683,10506,26189,0.4011607926992249
3057,2022,14126,11554,25680,0.4499221183800623
3058,1940,7680,798,8478,0.09412597310686482
3058,1950,8926,1020,9946,0.10255379046853007
3058,1960,12775,1953,14728,0.1326045627376426
3058,1970,13596,1632,15228,0.10717100078802207
3058,1980,16911,2582,19493,0.13245780536602883
3058,1991,17703,2976,20679,0.14391411576962135
3058,1996,16711,3156,19867,0.15885639502692908
3058,2000,15217,6272,21489,0.29187025920238263
3058,2007,18717,5715,24432,0.23391453831041256
