code_muni,municipio,estado,sabem(7a14),nsabem(7a14),sabem(15a),nsabem(15a),chave_join,numeroestabelecimento,commaquinas,cominstruagra,fabeofi,casaneg,popu
2905008,Caculé,BA,61,939,212,788,cacule_BA,204,121,0,6,59,18776
2905206,Caetité,BA,80,920,190,810,caetite_BA,551,391,3,0,24,36177
2905800,Camamú.,BA,72,928,171,829,camamu_BA,0,0,0,9,98,26080
2914000,Camisão.,BA,54,946,146,854,camisao_BA,0,0,0,4,34,28850
2906006,Campo Formoso.,BA,54,946,177,823,campo formoso_BA,0,0,0,0,33,37425
2999922,Campo Largo.,BA,55,45,118,882,campo largo_BA,0,0,0,1,10,12010
2919603,Capivary,BA,75,925,206,794,capivary_BA,250,0,0,10,33,8604
2906907,Caravellas,BA,174,826,367,633,caravellas_BA,168,19,0,4,61,9966
2907301,Castro Alves.,BA,149,851,301,699,castro alves_BA,0,0,0,12,143,23346
2905404,Cayrú.,BA,293,707,434,566,cayru_BA,0,0,0,0,7,6462
2999919,Chorrocho,BA,45,955,149,851,chorrocho_BA,0,0,0,0,10,6498
2999920,Cicero Dantas,BA,60,940,176,824,cicero dantas_BA,479,0,0,1,50,19719
2999921,Conceição do Coite ..,BA,76,924,185,815,conceicao do coite_BA,0,0,0,0,52,17447
2999937,Conde,BA,103,897,159,841,conde_BA,158,33,0,4,49,26918
2908705,Condeúba.,BA,44,956,154,846,condeuba_BA,0,0,0,1,69,60297
2933307,Conquista.,BA,54,946,182,818,conquista_BA,0,0,0,2,26,84038
2908903,Coração de Maria,BA,44,956,145,855,coracao de maria_BA,329,0,0,1,24,18491
2909307,Correntina.,BA,43,957,143,857,correntina_BA,0,0,0,0,2,15338
2909802,Cruz das Almas,BA,115,885,207,793,cruz das almas_BA,197,33,0,4,61,20210
2999923,Cumbe.,BA,86,914,221,779,cumbe_BA,0,0,0,0,28,12890
2909901,Curaçá,BA,91,909,259,741,curaca_BA,669,0,0,1,53,16500
2910503,Entre Rios,BA,111,889,170,830,entre rios_BA,121,17,1,10,33,22910
2918100,Geremoabo.,BA,51,949,149,851,geremoabo_BA,0,0,0,1,15,16318
2911709,Guanamby,BA,60,940,164,836,guanamby_BA,187,27,3,1,44,8304
2999918,Guarany.,BA,81,919,251,749,guarany_BA,0,0,0,0,6,9609
2999926,Igrapiúna,BA,304,696,317,683,igrapiuna_BA,87,54,0,0,10,4399
2913606,Ilhéos.,BA,246,754,360,640,ilheos_BA,0,0,0,15,173,63012
2913705,Inhambupe.,BA,75,925,151,849,inhambupe_BA,0,0,0,5,68,33036
2914505,Irará,BA,82,918,183,817,irara_BA,1073,1,1,17,2,37546
2914703,Itaberaba,BA,61,939,175,825,itaberaba_BA,410,5,0,18,11,22861
2914802,Itabuna,BA,190,810,325,675,itabuna_BA,2049,2,1,17,243,41980
2916104,Itaparica.,BA,395,605,444,556,itaparica_BA,0,0,0,0,90,20005
2999927,Itapicurú,BA,66,934,173,827,itapicuru_BA,182,14,2,0,0,14342
2917201,Ituassú,BA,84,916,188,812,ituassu_BA,291,89,1,1,48,20282
2917409,Jacaracy.,BA,40,960,132,868,jacaracy_BA,0,0,0,1,10,21894
2917508,Jacobina.,BA,80,920,190,810,jacobina_BA,0,0,0,2,62,48804
2917805,Jaguaripe.,BA,143,857,231,769,jaguaripe_BA,0,0,0,0,48,11598
2918209,Jequiriçá,BA,64,936,122,878,jequirica_BA,289,175,0,0,13,24397
2918407,Joazeiro.,BA,188,812,345,655,joazeiro_BA,0,0,0,3,66,12783
2902807,Jussiape.,BA,67,933,179,821,jussiape_BA,0,0,0,1,36,17769
2918803,Lage.,BA,65,935,124,876,lage_BA,0,0,0,0,0,14710
2919306,Lençóes,BA,241,759,356,644,lencoes_BA,74,4,0,1,23,7789
2919801,Macahubas.,BA,33,967,169,831,macahubas_BA,0,0,0,0,15,38339
2920502,Maracás,BA,83,917,200,800,maracas_BA,594,68,0,2,88,33663
2920700,Marahú.,BA,102,898,244,756,marahu_BA,0,0,0,12,34,18616
2921005,Matta de São João.,BA,135,865,206,794,matta de sao joao_BA,0,0,0,1,5,17870
2926707,Minas do Rio de Contas.,BA,72,928,197,803,minas do rio de contas_BA,0,0,0,16,89,42328
2920106,Monte Alegre.,BA,108,892,263,737,monte alegre_BA,0,0,0,0,48,21226
2999930,Monte Alto.,BA,76,924,213,787,monte alto_BA,0,0,0,0,12,13811
2928505,Monte Cruzeiro,BA,65,935,174,826,monte cruzeiro_BA,344,51,0,0,47,30962
2921500,Monte Santo.,BA,77,923,308,692,monte santo_BA,0,0,0,9,92,28565
2921708,Morro do Chapéo.,BA,110,890,268,732,morro do chapeo_BA,0,0,0,5,76,39663
2922102,Mundo Novo,BA,102,898,260,740,mundo novo_BA,684,10,1,0,2,30516
2922300,Muritiba,BA,116,884,213,787,muritiba_BA,424,0,0,11,87,21350
2922508,Nazareth.,BA,208,792,325,675,nazareth_BA,0,0,0,9,132,24159
2922607,Nova Boipeba.,BA,69,931,103,897,nova boipeba_BA,0,0,0,9,18,13226
2999929,Oliveira do Brejinho.,BA,87,913,207,793,oliveira do brejinho_BA,0,0,0,0,23,12057
2927200,Orobó.,BA,85,915,202,798,orobo_BA,0,0,0,5,38,24323
2923605,Paramirim,BA,44,956,149,851,paramirim_BA,834,553,0,0,38,26667
2923803,Patrocinio do Coité,BA,66,934,192,808,patrocinio do coite_BA,295,1,0,0,2,16028
