NC,NN,MN,V,D1C,D1N,D2N,D3N,D4N
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1997,Quantidade produzida,Total
6,Município,Mil Reais,357,2100105,Afonso Cunha - MA,1997,Valor da produção,Total
6,Município,Hectares,1083,2100105,Afonso Cunha - MA,1998,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1998,Quantidade produzida,Total
6,Município,Mil Reais,342,2100105,Afonso Cunha - MA,1998,Valor da produção,Total
6,Município,Hectares,886,2100105,Afonso Cunha - MA,1999,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1999,Quantidade produzida,Total
6,Município,Mil Reais,219,2100105,Afonso Cunha - MA,1999,Valor da produção,Total
6,Município,Hectares,1214,2100105,Afonso Cunha - MA,2000,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2000,Quantidade produzida,Total
6,Município,Mil Reais,308,2100105,Afonso Cunha - MA,2000,Valor da produção,Total
6,Município,Hectares,1297,2100105,Afonso Cunha - MA,2001,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2001,Quantidade produzida,Total
6,Município,Mil Reais,416,2100105,Afonso Cunha - MA,2001,Valor da produção,Total
6,Município,Hectares,1389,2100105,Afonso Cunha - MA,2002,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2002,Quantidade produzida,Total
6,Município,Mil Reais,387,2100105,Afonso Cunha - MA,2002,Valor da produção,Total
6,Município,Hectares,1498,2100105,Afonso Cunha - MA,2003,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2003,Quantidade produzida,Total
6,Município,Mil Reais,687,2100105,Afonso Cunha - MA,2003,Valor da produção,Total
6,Município,Hectares,1583,2100105,Afonso Cunha - MA,2004,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2004,Quantidade produzida,Total
6,Município,Mil Reais,1078,2100105,Afonso Cunha - MA,2004,Valor da produção,Total
6,Município,Hectares,1672,2100105,Afonso Cunha - MA,2005,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2005,Quantidade produzida,Total
6,Município,Mil Reais,674,2100105,Afonso Cunha - MA,2005,Valor da produção,Total
6,Município,Hectares,1709,2100105,Afonso Cunha - MA,2006,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2006,Quantidade produzida,Total
6,Município,Mil Reais,722,2100105,Afonso Cunha - MA,2006,Valor da produção,Total
6,Município,Hectares,1985,2100105,Afonso Cunha - MA,2007,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2007,Quantidade produzida,Total
6,Município,Mil Reais,992,2100105,Afonso Cunha - MA,2007,Valor da produção,Total
6,Município,Hectares,1951,2100105,Afonso Cunha - MA,2008,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2008,Quantidade produzida,Total
6,Município,Mil Reais,1170,2100105,Afonso Cunha - MA,2008,Valor da produção,Total
6,Município,Hectares,2181,2100105,Afonso Cunha - MA,2009,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2009,Quantidade produzida,Total
6,Município,Mil Reais,1308,2100105,Afonso Cunha - MA,2009,Valor da produção,Total
6,Município,Hectares,2520,2100105,Afonso Cunha - MA,2010,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2010,Quantidade produzida,Total
6,Município,Mil Reais,2651,2100105,Afonso Cunha - MA,2010,Valor da produção,Total
6,Município,Hectares,2341,2100105,Afonso Cunha - MA,2011,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2011,Quantidade produzida,Total
6,Município,Mil Reais,2057,2100105,Afonso Cunha - MA,2011,Valor da produção,Total
6,Município,Hectares,2512,2100105,Afonso Cunha - MA,2012,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2012,Quantidade produzida,Total
6,Município,Mil Reais,1426,2100105,Afonso Cunha - MA,2012,Valor da produção,Total
6,Município,Hectares,2527,2100105,Afonso Cunha - MA,2013,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2013,Quantidade produzida,Total
6,Município,Mil Reais,3220,2100105,Afonso Cunha - MA,2013,Valor da produção,Total
6,Município,Hectares,2429,2100105,Afonso Cunha - MA,2014,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2014,Quantidade produzida,Total
6,Município,Mil Reais,5755,2100105,Afonso Cunha - MA,2014,Valor da produção,Total
6,Município,Hectares,3114,2100105,Afonso Cunha - MA,2015,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2015,Quantidade produzida,Total
6,Município,Mil Reais,6345,2100105,Afonso Cunha - MA,2015,Valor da produção,Total
6,Município,Hectares,4868,2100105,Afonso Cunha - MA,2016,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2016,Quantidade produzida,Total
6,Município,Mil Reais,6300,2100105,Afonso Cunha - MA,2016,Valor da produção,Total
6,Município,Hectares,6388,2100105,Afonso Cunha - MA,2017,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2017,Quantidade produzida,Total
6,Município,Mil Reais,17098,2100105,Afonso Cunha - MA,2017,Valor da produção,Total
6,Município,Hectares,6691,2100105,Afonso Cunha - MA,2018,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2018,Quantidade produzida,Total
6,Município,Mil Reais,20206,2100105,Afonso Cunha - MA,2018,Valor da produção,Total
6,Município,Hectares,7306,2100105,Afonso Cunha - MA,2019,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2019,Quantidade produzida,Total
6,Município,Mil Reais,22370,2100105,Afonso Cunha - MA,2019,Valor da produção,Total
6,Município,Hectares,7996,2100105,Afonso Cunha - MA,2020,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2020,Quantidade produzida,Total
6,Município,Mil Reais,32692,2100105,Afonso Cunha - MA,2020,Valor da produção,Total
6,Município,Hectares,10096,2100105,Afonso Cunha - MA,2021,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2021,Quantidade produzida,Total
6,Município,Mil Reais,72552,2100105,Afonso Cunha - MA,2021,Valor da produção,Total
6,Município,Hectares,10586,2100105,Afonso Cunha - MA,2022,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2022,Quantidade produzida,Total
6,Município,Mil Reais,85289,2100105,Afonso Cunha - MA,2022,Valor da produção,Total
6,Município,Hectares,8452,2100105,Afonso Cunha - MA,2023,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2023,Quantidade produzida,Total
6,Município,Mil Reais,57795,2100105,Afonso Cunha - MA,2023,Valor da produção,Total
6,Município,Hectares,11476,2100105,Afonso Cunha - MA,2024,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,2024,Quantidade produzida,Total
6,Município,Mil Reais,57889,2100105,Afonso Cunha - MA,2024,Valor da produção,Total
6,Município,,NA,2100154,Água Doce do Maranhão - MA,1974,Área plantada ou destinada à colheita,Total
