Limiar_km,Outcome,Modelo,Coef,DP,P,F_Stat,N
50 km,Pop. Total (1991),M2,-0.06506307478111689,0.16700310838274912,0.6968382696882305,174.40241674539251,1228
50 km,Pop. Total (1991),M3,-0.1652352163034317,0.18541859084850662,0.37285032682648556,151.56172019656785,1228
50 km,Pop. Total (1991),M4,-0.1907612287641844,0.18552330296116223,0.3038401212786934,152.85333232664453,1227
50 km,Pop. Total (2000),M1,0.1277158832354893,0.12624522219230427,0.3117057930510163,348.43716970872003,1229
50 km,Pop. Total (2000),M2,-0.053772665092228666,0.17046209488795788,0.7524182394406846,174.52453009965865,1229
50 km,Pop. Total (2000),M3,-0.1683169429717044,0.1898611592395535,0.3753338977804104,151.72282229460168,1229
50 km,Pop. Total (2000),M4,-0.19606311716791283,0.19054946424974759,0.3035099631948981,153.01103662498153,1228
50 km,Pop. Total (2010),M1,0.19696443010517353,0.1301446161853381,0.13017112553478416,355.33672556497584,1233
50 km,Pop. Total (2010),M2,0.04338653429051814,0.17714445325983458,0.8065169994711878,180.31584058402242,1233
50 km,Pop. Total (2010),M3,-0.07086146874029914,0.19898800674120842,0.7217587543644497,157.17614032152034,1233
50 km,Pop. Total (2010),M4,-0.16269230329762077,0.19516772696396625,0.4045050216421999,153.65591889974098,1231
50 km,Tx. Urban. (2010),M1,-0.024117547788871666,0.026057597863579095,0.3546811232499647,355.33672556497584,1233
50 km,Tx. Urban. (2010),M2,0.041940337852844956,0.035906057551315027,0.24278359402547967,180.31584058402242,1233
50 km,Tx. Urban. (2010),M3,0.009365062292545065,0.038239398482980066,0.8065291314255121,157.17614032152034,1233
50 km,Tx. Urban. (2010),M4,0.0211801725239994,0.038301508049048465,0.580273447395331,153.65591889974098,1231
50 km,Val. Prod. (2000),M1,0.5255368051383356,0.3382922311205464,0.12030385339348659,138.0037158491672,928
50 km,Val. Prod. (2000),M2,0.7073806628687358,0.4459013954335688,0.11264723324485271,81.40188592746861,928
50 km,Val. Prod. (2000),M3,0.08502258479280156,0.44531760931928643,0.8485837898728126,68.52598327595473,928
50 km,Val. Prod. (2000),M4,-0.03472525314149599,0.4279128562130752,0.935322430475124,71.41100593448667,927
50 km,Val. Prod. (2010),M1,0.9454903617448998,0.37317144312282075,0.011287750211267822,138.0037158491672,928
50 km,Val. Prod. (2010),M2,1.7410619213234706,0.5495461398128055,0.0015339571567438703,81.40188592746861,928
50 km,Val. Prod. (2010),M3,1.082757892311247,0.5287669434979008,0.040589065997900464,68.52598327595473,928
50 km,Val. Prod. (2010),M4,0.9205704634029543,0.49609134551324896,0.06350387648298761,71.41100593448667,927
50 km,IDHM (2000),M1,0.00471501123070662,0.008473300677994573,0.5778997923609361,355.33672556497584,1233
50 km,IDHM (2000),M2,0.020281031748779463,0.012113866016544949,0.09409134388130957,180.31584058402242,1233
50 km,IDHM (2000),M3,0.021919753909116987,0.012736612534065059,0.08525020074739542,157.17614032152034,1233
50 km,IDHM (2000),M4,0.027900269510693562,0.01197805272854356,0.01984410083347643,153.65591889974098,1231
50 km,IDHM (2010),M1,-0.002183154642536969,0.006071780879570584,0.719178035206061,355.33672556497584,1233
50 km,IDHM (2010),M2,0.007895677569632517,0.008470759972816225,0.3512798336095815,180.31584058402242,1233
50 km,IDHM (2010),M3,0.008840664269735652,0.00872725344168487,0.3110625399068174,157.17614032152034,1233
50 km,IDHM (2010),M4,0.01323193761913283,0.008044275859678344,0.09999278723881311,153.65591889974098,1231
50 km,Renda p.c. (2000),M1,-0.048230952549726716,0.049531249747807864,0.33018170626304366,355.33672556497584,1233
50 km,Renda p.c. (2000),M2,0.08531683684773028,0.0708930342373763,0.22879887498216367,180.31584058402242,1233
50 km,Renda p.c. (2000),M3,0.07046735269190983,0.07662434227087113,0.35775721504397406,157.17614032152034,1233
50 km,Renda p.c. (2000),M4,0.1029062751701151,0.06759830854980868,0.12792885207790206,153.65591889974098,1231
50 km,Renda p.c. (2010),M1,-0.054367768762480125,0.03985409402575025,0.17251399418293611,355.33672556497584,1233
50 km,Renda p.c. (2010),M2,0.06611926375462576,0.054465150173723824,0.22475774016888206,180.31584058402242,1233
50 km,Renda p.c. (2010),M3,0.04878183471368478,0.058139559294487726,0.40144282075919757,157.17614032152034,1233
50 km,Renda p.c. (2010),M4,0.07440274376926068,0.05272402586742903,0.1581934862422376,153.65591889974098,1231
50 km,% Pobres (2010),M1,0.580563866329483,1.4862303014297664,0.6960718795782479,355.33672556497584,1233
50 km,% Pobres (2010),M2,-2.5562508228587753,2.0252322360077137,0.20687635008591365,180.31584058402242,1233
50 km,% Pobres (2010),M3,-2.1776154004220913,2.174484317118764,0.31661417262054004,157.17614032152034,1233
50 km,% Pobres (2010),M4,-3.0266619382175937,2.0749613473670907,0.14465886732642375,153.65591889974098,1231
100 km,PIB Total (2000),M1,-0.37547478839796544,0.16006162894082057,0.018985586121932574,897.7367604645647,1233
100 km,PIB Total (2000),M2,-0.897057387080136,0.32831326249362064,0.006288973840077539,230.17578190044168,1233
100 km,PIB Total (2000),M3,-0.6778923289121123,0.3167361227870534,0.032335118663679996,258.6562091652257,1233
100 km,PIB Total (2000),M4,-0.7827642675703982,0.31963406007038087,0.014327777044473855,231.3084053756143,1231
100 km,PIB Total (2010),M1,-0.3642603102711176,0.1680652327961854,0.03020630532151758,897.7367604645647,1233
100 km,PIB Total (2010),M2,-0.8960928546301468,0.3456495656591956,0.009528410191192771,230.17578190044168,1233
100 km,PIB Total (2010),M3,-0.665934836867678,0.3330091380676157,0.045527326791023226,258.6562091652257,1233
100 km,PIB Total (2010),M4,-0.7663173249833763,0.33475492638563853,0.02206836827536285,231.3084053756143,1231
100 km,PIB p.c. (2000),M1,-0.41283046815133057,0.07210780750445743,1.0332167565962891e-8,877.5043019531975,1229
100 km,PIB p.c. (2000),M2,-0.33289447493304714,0.120557154173134,0.005757175843620788,212.07726472231522,1229
