grupo,ano_tratamento,tipo_outcome,outcome_var,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia,coeficiente_sig
Nao_Semiarido,1985,contemporaneo,adh_idhm_1991,0.02074968879261948,0.051126445667600655,0.4058504071948183,0.6851237585943678,24.527582627843465,337,,+0.0207
Nao_Semiarido,1985,contemporaneo,log(valor_producao_mil_reais_1985),2.5178113527627644,1.358808144060317,1.8529557419630829,0.06480916891401284,24.527582627843465,337,*,+2.5178*
MA,1985,persistencia,log(pib_2010),-16.19230332823804,35.85680159463994,-0.45158247830611165,0.6526561437436166,0.508914871626655,99,,-16.1923
MA,1985,persistencia,log(pop_total_2010),-15.498960054258532,32.98003923590652,-0.46994971544437325,0.639527681516146,0.508914871626655,99,,-15.4990
MA,1985,persistencia,adh_idhm_2010,-0.7016998562287853,1.4334660673673056,-0.48951270783655354,0.6256697572180034,0.508914871626655,99,,-0.7017
MA,1985,persistencia,adh_gini_2010,1.183228229531224,1.9705977557891206,0.6004412752705097,0.549721216663477,0.508914871626655,99,,+1.1832
MA,1985,persistencia,log(valor_producao_mil_reais_2010),-8.24729400814499,27.75655241622586,-0.2971296249070114,0.7670522499337978,0.508914871626655,99,,-8.2473
MA,1985,contemporaneo,log(pib_1985),-28.87979898017761,52.826642279414386,-0.5466900362022736,0.5859445777106655,0.508914871626655,99,,-28.8798
MA,1985,contemporaneo,log(pop_total_1991),-19.68280935907569,38.84109102243636,-0.5067522265969825,0.6135679827972034,0.508914871626655,99,,-19.6828
MA,1985,contemporaneo,adh_idhm_1991,-0.8408815995829784,1.7399677762685095,-0.48327423705875266,0.6300746594632294,0.508914871626655,99,,-0.8409
MA,1985,contemporaneo,log(valor_producao_mil_reais_1985),-37.35415936008121,60.678437941431724,-0.6156084537992942,0.5397066512180324,0.508914871626655,99,,-37.3542
PI,1985,persistencia,log(pib_2010),26.99028506369433,12.368687713672195,2.1821462137700833,0.03199595127751083,11.038447239537824,90,**,+26.9903**
PI,1985,persistencia,log(pop_total_2010),22.45391251587131,10.69689912363416,2.09910482059803,0.03892160185971942,11.038447239537824,90,**,+22.4539**
PI,1985,persistencia,adh_idhm_2010,0.7191369456746202,0.42312846687215544,1.6995711751341493,0.0930490742170568,11.038447239537824,90,*,+0.7191*
PI,1985,persistencia,adh_gini_2010,0.2645843646817667,0.44383947401433915,0.5961262577406956,0.5527531626669668,11.038447239537824,90,,+0.2646
PI,1985,persistencia,log(valor_producao_mil_reais_2010),33.26699762162872,23.366375625957104,1.4237123529193492,0.15837052815559322,11.038447239537824,90,,+33.2670
PI,1985,contemporaneo,log(pib_1985),20.982429688297202,8.41522246516675,2.4933897796701245,0.014689596788686496,11.038447239537824,90,**,+20.9824**
PI,1985,contemporaneo,log(pop_total_1991),21.314896905785247,9.635511981472465,2.2121187692745705,0.02977466422961794,11.038447239537824,90,**,+21.3149**
PI,1985,contemporaneo,adh_idhm_1991,0.602113788999949,0.3660677531538451,1.6448151573375607,0.10388358565315285,11.038447239537824,90,,+0.6021
PI,1985,contemporaneo,log(valor_producao_mil_reais_1985),12.004916471668992,6.181329686354858,1.9421252514923393,0.05559784117515357,11.038447239537824,90,*,+12.0049*
CE,1985,persistencia,log(pib_2010),-154.5354878897051,1662.322089416136,-0.09296362532485099,0.9260801128373463,0.010074708650789795,135,,-154.5355
CE,1985,persistencia,log(pop_total_2010),-111.47167469565466,1206.0512250827933,-0.09242698185394432,0.9265055972510344,0.010074708650789795,135,,-111.4717
