ano_tratamento,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,R2_1estagio,n_observacoes
1966,densidade_buffer_real_20km_1966,densidade_buffer_sintetica_20km_1966,0.31480592413974745,0.029017587001044894,10.848797459568626,3.0753250039209977e-26,117.69640631874267,0.36671392920784573,1235
1969,densidade_buffer_real_20km_1969,densidade_buffer_sintetica_20km_1969,0.3123171838090487,0.02932071993750839,10.651756998965038,2.1590703784340426e-25,113.45992716500066,0.36102761390654126,1236
1972,densidade_buffer_real_20km_1972,densidade_buffer_sintetica_20km_1972,0.316109804952518,0.029270176705256435,10.799723149459155,5.0127313423934926e-26,116.63402010496397,0.35951085056735377,1235
1985,densidade_buffer_real_20km_1985,densidade_buffer_sintetica_20km_1985,0.31591064824796944,0.02923411857913201,10.806231335241069,4.70848833371474e-26,116.77463567074598,0.3529458924108513,1234
1996,densidade_buffer_real_20km_1996,densidade_buffer_sintetica_20km_1996,0.3161292487327241,0.02916760305567938,10.838369136101118,3.426655696471163e-26,117.47024553038929,0.3518006074933714,1233
2003,densidade_buffer_real_20km_2003,densidade_buffer_sintetica_20km_2003,0.31612489914666575,0.029168685455017176,10.837817824673017,3.4455320875012126e-26,117.45829520080017,0.35170219350476073,1233
1858,densidade_buffer_real_50km_1858,densidade_buffer_sintetica_50km_1858,0.9385335891630412,0.028091783453480446,33.40954093275132,2.955680733561453e-177,1116.197425337186,0.9651720133660072,1321
1860,densidade_buffer_real_50km_1860,densidade_buffer_sintetica_50km_1860,0.8109843582118531,0.042275296497626666,19.18341029866891,2.0575420790128487e-72,368.00323068707644,0.8777595819682825,1318
1862,densidade_buffer_real_50km_1862,densidade_buffer_sintetica_50km_1862,0.732890299300154,0.04429802232681297,16.544537674688602,6.175276896441915e-56,273.72172686919055,0.6491808094552753,1317
1863,densidade_buffer_real_50km_1863,densidade_buffer_sintetica_50km_1863,0.7757349895903018,0.04410534833771575,17.588229519251946,2.86184244836249e-62,309.34581762188554,0.6114797780176328,1316
1873,densidade_buffer_real_50km_1873,densidade_buffer_sintetica_50km_1873,0.7650354070871845,0.04406064043475978,17.36323847175953,7.115495889596206e-61,301.4820502271902,0.5642182457276985,1314
1875,densidade_buffer_real_50km_1875,densidade_buffer_sintetica_50km_1875,0.8232619982075481,0.03676238931161061,22.394137422061913,3.9485664430192145e-94,501.4973908781938,0.5662682380766474,1312
1876,densidade_buffer_real_50km_1876,densidade_buffer_sintetica_50km_1876,0.894686948167854,0.022786509940017848,39.26388685774989,1.54988264016039e-222,1541.6528111781845,0.684672102078188,1310
1880,densidade_buffer_real_50km_1880,densidade_buffer_sintetica_50km_1880,0.8815139787656405,0.023649658998826952,37.273855779880996,4.9551284869769555e-207,1389.340324699368,0.6355156678512605,1310
1881,densidade_buffer_real_50km_1881,densidade_buffer_sintetica_50km_1881,0.751605496690975,0.03018197067121945,24.902465941618637,5.291786045821422e-112,620.1328099734761,0.5451504038643711,1303
1882,densidade_buffer_real_50km_1882,densidade_buffer_sintetica_50km_1882,0.7685644947001404,0.02768408726715516,27.761958965213115,3.938112556972033e-133,770.7263655861768,0.5460268015692191,1297
1883,densidade_buffer_real_50km_1883,densidade_buffer_sintetica_50km_1883,0.7816288860495479,0.02268686702002038,34.45292315416612,2.299447012441674e-184,1187.003913866876,0.7141130405037948,1293
1884,densidade_buffer_real_50km_1884,densidade_buffer_sintetica_50km_1884,0.746585180040821,0.023361352315268608,31.958131959375688,5.6784551988173e-165,1021.3221983328698,0.744681707845169,1290
1885,densidade_buffer_real_50km_1885,densidade_buffer_sintetica_50km_1885,0.7272529612353289,0.02383607070094206,30.51060597863498,8.482220606252324e-154,930.8970771835167,0.732317515986881,1288
1886,densidade_buffer_real_50km_1886,densidade_buffer_sintetica_50km_1886,0.7276304922978277,0.02384003610541728,30.52136704325229,7.479376391382872e-154,931.5538461889271,0.7317183672305743,1287
1887,densidade_buffer_real_50km_1887,densidade_buffer_sintetica_50km_1887,0.7406530371840228,0.023975113752747357,30.892576561775428,1.0758288412592556e-156,954.3512866251565,0.7518287003445611,1287
1888,densidade_buffer_real_50km_1888,densidade_buffer_sintetica_50km_1888,0.7407357881169065,0.02389517498897121,30.99938746875854,1.7459075824887597e-157,960.9620234382239,0.7506696042020974,1286
1891,densidade_buffer_real_50km_1891,densidade_buffer_sintetica_50km_1891,0.7384414323222315,0.023901262913058986,30.895498493461098,1.0915552435023813e-156,954.531827159457,0.7482734953632189,1286
1892,densidade_buffer_real_50km_1892,densidade_buffer_sintetica_50km_1892,0.7383335551684307,0.023909258748748156,30.880654349315133,1.418258455144292e-156,953.6148130418757,0.7482717934717731,1286
1894,densidade_buffer_real_50km_1894,densidade_buffer_sintetica_50km_1894,0.7539974182535847,0.023108802062037782,32.628148193463545,6.133585334100828e-170,1064.5960545346184,0.7447994540426636,1284
1895,densidade_buffer_real_50km_1895,densidade_buffer_sintetica_50km_1895,0.7506472708273867,0.023305776452482652,32.20863601596178,1.2064466868610174e-166,1037.3962340087103,0.740498397758093,1282
1896,densidade_buffer_real_50km_1896,densidade_buffer_sintetica_50km_1896,0.751737600859954,0.023132524578728185,32.49699782233125,7.889045019036357e-169,1056.0548674646022,0.7396461760541901,1281
1900,densidade_buffer_real_50km_1900,densidade_buffer_sintetica_50km_1900,0.7478520793855439,0.023183450893722236,32.258013822612234,5.42503595589338e-167,1040.579455779842,0.7369875285229703,1281
1901,densidade_buffer_real_50km_1901,densidade_buffer_sintetica_50km_1901,0.8193632497938459,0.02105353020733232,38.91809315230593,2.788146786827965e-218,1514.6179746115615,0.7939193799585713,1280
1902,densidade_buffer_real_50km_1902,densidade_buffer_sintetica_50km_1902,0.8222702558532756,0.02078145361644214,39.56750432523648,3.2699556010681062e-223,1565.5873985276073,0.7975572358479023,1279
1904,densidade_buffer_real_50km_1904,densidade_buffer_sintetica_50km_1904,0.8225251844479355,0.020777732636406525,39.58685958864999,2.3234684813412125e-223,1567.1194520914898,0.7976119914857686,1279
1905,densidade_buffer_real_50km_1905,densidade_buffer_sintetica_50km_1905,0.8230911765704546,0.020780169472706625,39.60945446819047,2.285662828514029e-223,1568.9088832676541,0.7969230620993006,1276
1906,densidade_buffer_real_50km_1906,densidade_buffer_sintetica_50km_1906,0.8103086787572108,0.021346475626288563,37.95983435126412,1.1630133096151283e-210,1440.9490239754116,0.78923981131227,1275
1907,densidade_buffer_real_50km_1907,densidade_buffer_sintetica_50km_1907,0.8127697246482527,0.021069991220210808,38.57475383609205,2.8070744552298783e-215,1488.0116335150983,0.7862721873564895,1273
1908,densidade_buffer_real_50km_1908,densidade_buffer_sintetica_50km_1908,0.8099783935620664,0.0212166880808925,38.17647648275149,3.184426954867947e-212,1457.4433566380776,0.7841314388750664,1273
1910,densidade_buffer_real_50km_1910,densidade_buffer_sintetica_50km_1910,0.7761773670938921,0.022525237323653826,34.45812161449796,1.3651764786480336e-183,1187.3621451995316,0.754975935277733,1272
1911,densidade_buffer_real_50km_1911,densidade_buffer_sintetica_50km_1911,0.7054706076508904,0.025230538105459284,27.960981438530773,5.0256681434423065e-134,781.8164830058624,0.7424680813415593,1269
1912,densidade_buffer_real_50km_1912,densidade_buffer_sintetica_50km_1912,0.7097155773147333,0.02434514538459824,29.152242309619936,5.6231802414691385e-143,849.8532316787947,0.7643832760713098,1269
1913,densidade_buffer_real_50km_1913,densidade_buffer_sintetica_50km_1913,0.7282369240237887,0.024204388931119515,30.08697827886481,6.504059739557145e-150,905.2262619528829,0.7562404895938415,1264
1914,densidade_buffer_real_50km_1914,densidade_buffer_sintetica_50km_1914,0.7310792265556304,0.024527569580237583,29.80642758606941,8.639723558040329e-148,888.4231254435996,0.7636868849871561,1264
1915,densidade_buffer_real_50km_1915,densidade_buffer_sintetica_50km_1915,0.685862733145038,0.02582757305004763,26.555446453137538,1.9159030817544984e-123,705.191736325455,0.7468702441567223,1262
1916,densidade_buffer_real_50km_1916,densidade_buffer_sintetica_50km_1916,0.6827144162506752,0.026420862967754154,25.83997415542055,3.7107261067856755e-118,667.7042643528019,0.7511158797864308,1260
1917,densidade_buffer_real_50km_1917,densidade_buffer_sintetica_50km_1917,0.6572989413471253,0.02686803106605647,24.463978760896964,3.836549189475437e-108,598.4862568136177,0.7354812657852814,1257
1918,densidade_buffer_real_50km_1918,densidade_buffer_sintetica_50km_1918,0.6584428205439086,0.026534788124269192,24.814323651662587,1.1599171419652313e-110,615.7506582894613,0.7328009527598679,1257
1919,densidade_buffer_real_50km_1919,densidade_buffer_sintetica_50km_1919,0.6221120796787286,0.02600904482085485,23.91906676941477,3.20384772989467e-104,572.1217551197219,0.7149727667484913,1255
1920,densidade_buffer_real_50km_1920,densidade_buffer_sintetica_50km_1920,0.6242129859451637,0.02628471828389829,23.748133010333586,5.415537623678043e-103,563.9738214764957,0.7054834035765715,1254
1921,densidade_buffer_real_50km_1921,densidade_buffer_sintetica_50km_1921,0.626187241987768,0.026545527396480355,23.589180679484016,7.019383383191513e-102,556.449445129342,0.6924799041928248,1255
1922,densidade_buffer_real_50km_1922,densidade_buffer_sintetica_50km_1922,0.6229209953586224,0.026625535350555632,23.39562330511499,1.6366746006328935e-100,547.3551898348397,0.6908576058563073,1255
1923,densidade_buffer_real_50km_1923,densidade_buffer_sintetica_50km_1923,0.5871514216525777,0.02733996614471222,21.475938139233495,3.6932467998101576e-87,461.21591896018384,0.6626883597562024,1251
1924,densidade_buffer_real_50km_1924,densidade_buffer_sintetica_50km_1924,0.5815370632397191,0.02738077159362483,21.238885151619343,1.498127788256185e-85,451.0902424836766,0.6619412115033081,1251
1925,densidade_buffer_real_50km_1925,densidade_buffer_sintetica_50km_1925,0.577025299596008,0.028940767197520773,19.93814799924997,7.040974447213264e-77,397.5297456399956,0.6653408703981445,1251
1926,densidade_buffer_real_50km_1926,densidade_buffer_sintetica_50km_1926,0.4651399049040293,0.030738206313821518,15.13230473356794,1.4665905259760004e-47,228.9866465495627,0.6101410903840336,1246
1927,densidade_buffer_real_50km_1927,densidade_buffer_sintetica_50km_1927,0.4751561859426058,0.030951637317713544,15.351568676810357,8.789294483361215e-49,235.67066083882492,0.6185272006415077,1245
1929,densidade_buffer_real_50km_1929,densidade_buffer_sintetica_50km_1929,0.5049164066093244,0.030310255223644667,16.658269713791295,2.532772887191417e-56,277.4979498574163,0.629853114849049,1245
1931,densidade_buffer_real_50km_1931,densidade_buffer_sintetica_50km_1931,0.4900353546267388,0.030864840858341378,15.876814556596177,9.14167141552154e-52,252.07324046454426,0.6348007780035767,1245
1932,densidade_buffer_real_50km_1932,densidade_buffer_sintetica_50km_1932,0.5263968933469709,0.03043942846293651,17.29325811711345,4.028296416361819e-60,299.0567763051102,0.6379459159791461,1244
1933,densidade_buffer_real_50km_1933,densidade_buffer_sintetica_50km_1933,0.5764818349776789,0.029663605824165006,19.433977055751487,1.6106168480014188e-73,377.6794642034753,0.6578874017175466,1241
1934,densidade_buffer_real_50km_1934,densidade_buffer_sintetica_50km_1934,0.5759428839836278,0.029777273182002826,19.34169325926471,6.455794788830917e-73,374.10109813548587,0.6578836367215413,1240
1936,densidade_buffer_real_50km_1936,densidade_buffer_sintetica_50km_1936,0.5820182519204917,0.029943128064344748,19.437456590032728,1.5551151718000596e-73,377.81471868940673,0.6587284351084202,1240
1937,densidade_buffer_real_50km_1937,densidade_buffer_sintetica_50km_1937,0.5796789371495303,0.030008243406932113,19.317323219779684,9.421848982291645e-73,373.15897637743933,0.6563415320415902,1239
1940,densidade_buffer_real_50km_1940,densidade_buffer_sintetica_50km_1940,0.5741418995352293,0.029968858575534992,19.157950179788585,1.0125933661277849e-71,367.0270550912615,0.6617633427167865,1238
1941,densidade_buffer_real_50km_1941,densidade_buffer_sintetica_50km_1941,0.5738286869915137,0.02998300249694898,19.13846643777272,1.3716960471033388e-71,366.28089758975284,0.6615840523393184,1237
1944,densidade_buffer_real_50km_1944,densidade_buffer_sintetica_50km_1944,0.5394434207577867,0.03087746244171889,17.470458324610853,3.664252182206068e-61,305.21691407196465,0.6296239500800275,1237
1947,densidade_buffer_real_50km_1947,densidade_buffer_sintetica_50km_1947,0.5493953316464315,0.03037334600646953,18.088074047864538,5.912173732432286e-65,327.1784227610306,0.6243520642802389,1236
1948,densidade_buffer_real_50km_1948,densidade_buffer_sintetica_50km_1948,0.5652067401802303,0.02984021772506127,18.941106441912524,2.5806881366962073e-70,358.7655132438601,0.6458965332452338,1235
1949,densidade_buffer_real_50km_1949,densidade_buffer_sintetica_50km_1949,0.5018909649644994,0.029060633193978495,17.270475891368175,6.404695080041547e-60,298.2693375143294,0.6154538398228975,1231
1950,densidade_buffer_real_50km_1950,densidade_buffer_sintetica_50km_1950,0.525076180897442,0.02972924899891847,17.661938951654783,2.6375621619581605e-62,311.9440875319805,0.6252847135615135,1232
1951,densidade_buffer_real_50km_1951,densidade_buffer_sintetica_50km_1951,0.538401861130143,0.029732991663981887,18.10789399246209,4.572487544319244e-65,327.89582484224456,0.6117071451910776,1234
1953,densidade_buffer_real_50km_1953,densidade_buffer_sintetica_50km_1953,0.5387703215377773,0.029717799211558683,18.129549826429393,3.3097841255976367e-65,328.68057690898604,0.6118046105861534,1235
1955,densidade_buffer_real_50km_1955,densidade_buffer_sintetica_50km_1955,0.5128749257980721,0.030506866544315944,16.81178645643734,3.438874237251142e-57,282.6361638568499,0.6032342502269405,1235
1956,densidade_buffer_real_50km_1956,densidade_buffer_sintetica_50km_1956,0.5133780984848493,0.030522390089512474,16.81972142349516,3.0848608274554145e-57,282.90302876398204,0.6035411424374171,1235
