Outcome,Modelo,Coef,DP,P,F_Stat,N
Val. Prod. (2010),M1,2.687243729621749,0.4621935612785223,6.0957698888586265e-9,87.17341957994765,884
Val. Prod. (2010),M1,2.687243729621749,0.4621935612785223,6.0957698888586265e-9,7.990809021860862e-20,884
Val. Prod. (2010),M1,2.687243729621749,0.4621935612785223,6.0957698888586265e-9,1,884
Val. Prod. (2010),M1,2.687243729621749,0.4621935612785223,6.0957698888586265e-9,875,884
Val. Prod. (2010),M2,2.4555818691659503,0.6547549062749015,1.7656446141423032e-4,36.70151084573293,884
Val. Prod. (2010),M2,2.4555818691659503,0.6547549062749015,1.7656446141423032e-4,2.043944999494844e-9,884
Val. Prod. (2010),M2,2.4555818691659503,0.6547549062749015,1.7656446141423032e-4,1,884
Val. Prod. (2010),M2,2.4555818691659503,0.6547549062749015,1.7656446141423032e-4,874,884
Val. Prod. (2010),M3,1.5016535218968423,0.6445840816425585,0.019824803594276963,27.43047806600608,884
Val. Prod. (2010),M3,1.5016535218968423,0.6445840816425585,0.019824803594276963,2.0430525145581803e-7,884
Val. Prod. (2010),M3,1.5016535218968423,0.6445840816425585,0.019824803594276963,1,884
Val. Prod. (2010),M3,1.5016535218968423,0.6445840816425585,0.019824803594276963,871,884
Val. Prod. (2010),M4,1.2439793442098501,0.6351629685347402,0.05016903264526018,25.672799134737275,883
Val. Prod. (2010),M4,1.2439793442098501,0.6351629685347402,0.05016903264526018,4.943021004632263e-7,883
Val. Prod. (2010),M4,1.2439793442098501,0.6351629685347402,0.05016903264526018,1,883
Val. Prod. (2010),M4,1.2439793442098501,0.6351629685347402,0.05016903264526018,868,883
IDHM (2000),M1,0.03955954136542766,0.009453823840030419,2.857923838028853e-5,155.01299472130762,1147
IDHM (2000),M1,0.03955954136542766,0.009453823840030419,2.857923838028853e-5,1.889132762411624e-33,1147
IDHM (2000),M1,0.03955954136542766,0.009453823840030419,2.857923838028853e-5,1,1147
IDHM (2000),M1,0.03955954136542766,0.009453823840030419,2.857923838028853e-5,1137,1147
IDHM (2000),M2,0.051367733813587474,0.014409020942299,3.6389719076668214e-4,59.79712440336832,1147
IDHM (2000),M2,0.051367733813587474,0.014409020942299,3.6389719076668214e-4,2.3072951954810944e-14,1147
