ano_tratamento,ano_outcome,escopo,outcome_var,outcome_coluna,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,R2_2estagio,n_observacoes,significancia
1876,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_50km_1876,densidade_buffer_sintetica_50km_1876,0.05191523907561309,0.009664914742445291,5.371515472104224,9.252283257966542e-8,1624.0840663566,0.177122007826656,1308,***
1876,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_5km_1876,densidade_buffer_sintetica_5km_1876,0.42854005540493806,0.2300426777710202,1.8628719660075341,0.06270725427658758,309.4165056048695,0.19672259952155413,1308,*
1876,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_10km_1876,densidade_buffer_sintetica_10km_1876,0.30795474619826596,0.09181542970393264,3.3540631154403413,8.194411475005906e-4,400.2286726531917,0.20846110752868663,1308,***
1876,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_20km_1876,densidade_buffer_sintetica_20km_1876,0.17891522754534328,0.029412326271210897,6.0830015924468865,1.5515809082895326e-9,768.1660051137858,0.22472302991988968,1308,***
1876,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_50km_1876,densidade_buffer_sintetica_50km_1876,0.06502022002735132,0.011568789362174118,5.620313240376269,2.332933251374473e-8,1624.0840663566,0.21341637347401088,1308,***
1876,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_5km_1876,densidade_buffer_sintetica_5km_1876,0.331804292971248,0.18717820549924685,1.7726652100667943,0.07651997169206934,309.4165056048695,0.26115071185580785,1308,*
1876,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_10km_1876,densidade_buffer_sintetica_10km_1876,0.2347637072033585,0.07359125553495661,3.1901033009532402,0.001456433107025228,400.2286726531917,0.2693101784800447,1308,***
1876,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_20km_1876,densidade_buffer_sintetica_20km_1876,0.13908450812744225,0.02381439541286883,5.8403543619790454,6.5842594262124474e-9,768.1660051137858,0.2819319264637783,1308,***
1876,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_50km_1876,densidade_buffer_sintetica_50km_1876,0.05607638060354498,0.009043476616729917,6.200754751751872,7.549201181224593e-10,1624.0840663566,0.277917633032957,1308,***
1880,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_5km_1880,densidade_buffer_sintetica_5km_1880,0.2943259215454143,0.17233041316701186,1.7079162994878452,0.08789228185471988,155.1814868983115,0.15877311462212196,1308,*
1880,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_10km_1880,densidade_buffer_sintetica_10km_1880,0.24802783357117772,0.0784354122049435,3.1621920073946574,0.0016023225027146787,209.25704634151148,0.17189504454160465,1308,***
1880,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_20km_1880,densidade_buffer_sintetica_20km_1880,0.14819392900410402,0.027294549287193832,5.429433087346647,6.747305909327586e-8,437.9653717779743,0.18804618623988867,1308,***
1880,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_50km_1880,densidade_buffer_sintetica_50km_1880,0.05261125174207429,0.00981358475952258,5.361063569662771,9.791586056843809e-8,1253.5632435110572,0.17814056239416265,1308,***
1880,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_5km_1880,densidade_buffer_sintetica_5km_1880,0.44055017557207954,0.24085077866996651,1.8291415871889602,0.06760896366506933,155.1814868983115,0.19768956370652002,1308,*
1880,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_10km_1880,densidade_buffer_sintetica_10km_1880,0.31983807494303457,0.09862091884471932,3.243105810508886,0.0012125851149383021,209.25704634151148,0.2092924776754549,1308,***
1880,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_20km_1880,densidade_buffer_sintetica_20km_1880,0.1885239288386864,0.032106136749087306,5.871897024298498,5.472704328531904e-9,437.9653717779743,0.22533425683360553,1308,***
1880,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_50km_1880,densidade_buffer_sintetica_50km_1880,0.06592264075856406,0.011768959949852598,5.601399022467548,2.595631017882902e-8,1253.5632435110572,0.21438112688951627,1308,***
