"code_amc","x","y","sabem_7a14","nsabem_7a14","sabem_15a","nsabem_15a","numeroestabelecimento","commaquinas","cominstruagra","fabeofi","casaneg","popu"
10166,280371.250041249,8552471.0104252,124.631192602933,840.533315161075,254.244569448239,732.203803802136,105.71289729783,10.4040799381246,0.066326313882016,2.10713456238177,31.8757510768343,14546.029291033
10167,390504.229732656,8432992.60423734,97.2056122434896,895.224355677417,215.220639722471,775.268351869906,222.250884278858,24.0853300415038,0.0627567210363464,3.4813958336476,47.4894198359992,18928.1658850512
10168,411162.003591498,8424291.08724845,109.779508338314,876.394184356244,223.700476840892,759.545682666957,243.530143851383,19.8303632841015,0.0584628457810058,5.19950651569431,65.5253524241794,22991.1049073526
10169,420658.7738347,8219980.29625831,192.67576639266,779.983794799465,359.853324074668,618.004700849275,152.175364752938,1.08951817954608,0.0570505339911504,3.52492258196577,54.0119528765034,14375.9427875919
10170,112440.864656331,8790877.49313945,129,871,292,708,0,0,0,0,33,19836
10171,421138.480739161,8325064.77493904,157.44791762551,827.398651192474,294.331899862697,690.111642602519,671.818464690914,1.93963727426314,0.32486815986842,8.12024925867547,121.194100908049,29209.1912343317
10172,451335.840822152,8377119.27505429,173.422602363527,812.74588644084,302.209177170284,685.672378459148,488.509183870506,1.82744109609009,0.236740574509057,10.3053785035523,138.156211233137,37734.2024710849
10173,403711.460878855,8127000.42949103,143.881588779333,836.317669491248,320.273588537588,661.611489795968,76.7819873490317,2.44724200927075,0.0151987853931679,2.98159895409734,35.5897559460743,11845.1723604036
10174,428735.279946422,8477839.84912528,99.4571843455503,889.848732457301,189.393309036914,793.484929240914,239.399148155178,46.968757330236,0.0385336087830778,4.06974971981642,41.819490995445,21044.6941736904
10175,342354.789017476,8322700.25518221,84.804580139532,895.64533822958,222.869785140162,762.45547648939,167.495903310218,4.66293597421373,0.0992376628968224,3.1645970726368,57.9524410351219,47179.5176888042
10176,604044.673960094,8638191.16493482,138.913589426308,846.273179499774,221.73184666881,764.735576812513,102.424789766511,4.03709614389423,1.22562546593005,9.89481038882916,74.8696106869609,25328.5063483123
