code_amc,pib_2021,pib_2023
4107,7431898,9791360
4108,2429708,2810984
4109,551258,658970
4110,557841,710522
4111,207982,259168
4112,151645,191055
4113,70224,88078
4114,322941,426631
4115,216792,291950
4116,67541,72488
4117,1681154,2118261
4118,1345205,1646404
4119,242027,286557
4120,972835,1152645
4121,448272,578203
4122,1059006,1445505
4123,322244,381568
4124,539218,717721
4125,817034,1263863
4126,451641,592486
4127,911356,1194867
4128,176809,226541
4129,186169,209728
4130,193105,244538
4131,253127,295136
4132,180984,229771
4133,166772,210865
4134,1349229,1697658
4135,154108,151959
4136,745791,996929
4137,10422701,9873557
4138,247325,304070
4139,110318,141211
4140,3737590,5041648
4141,225090,265519
4142,952649,1258625
4143,1871587,2445567
4144,893646,1161121
4145,599457,745356
4146,641261,766139
4147,202248,242210
4148,5700087,6935233
4149,73437739,86939832
4150,275921,423490
4151,86963,97406
4152,756891,1042530
4153,469407,561374
4154,51337,67463
4155,110755,135967
4156,2725995,4382611
4157,80396,104816
4158,185025,239627
4159,348540,431905
4160,1401815,2028859
4161,737489,923966
4162,2103635,2583331
4163,491529,658026
4164,143451,186861
4165,604075,780110
4166,328115,406831
4167,292098,357499
4168,220294,271622
4169,82855,103646
4170,731569,915862
4171,170314,213999
4172,174029,236128
4173,226644,316967
4174,154002,196533
4175,561175,740827
4176,566961,665090
4177,294154,369628
4178,129729,129952
4179,5114786,6457543
4180,319373,390390
4181,343304,445000
4182,1423366,1854065
4183,1577292,2144255
4184,13986245,15551288
4185,390969,453537
4186,96327,125472
4187,378718,483230
4188,517496,707667
4189,129293,166664
4190,287223,335239
4191,515937,598261
4192,446847,551794
4193,160699,210938
4194,75575,86070
4195,193204,239995
4196,131292,172104
4197,123801,146503
4198,163381,206839
4199,283185,343682
4200,218899,267791
4201,148366,175379
4202,59940,81237
4203,98773,125162
4204,115124,141264
4205,1091060,1293677
4206,288689,349488
4207,110908,137553
4208,389914,481197
4209,122162,149293
4210,484760,522218
4211,162092,203533
4212,109402,138933
4213,186375,232418
4214,110570,120981
4215,637015,805778
4216,566529,726622
4217,1158523,1517580
4218,169856,190822
4219,280072,352192
4220,159277,191197
4221,8624987,6908373
4222,107898,137068
4223,133109,160997
4224,352272,473900
4225,62766,82270
4226,450593,584614
4227,282247,319202
4228,711836,934349
4229,1732690,2265253
4230,1115144,1039083
4231,610350,820367
4232,642046,839887
4233,69441,85633
4234,298207,254534
4235,468101,575214
4236,603321,723250
5001,141992,195828
5002,12440784,15662220
5003,138262,160921
5004,34552,42554
5005,150789,209117
5006,50061,68329
5007,616322,902783
5008,219232,319913
5009,65525,79464
5010,709586,941920
5011,386631,471284
5012,151183,192335
5013,325030,335923
5014,45864,63583
5015,88429,128584
5016,433611,447254
5017,109336,140519
5018,139463,168163
5019,661417,514464
5020,60456,474184
5021,1394838,1735797
5022,106965,131975
5023,605673,615957
5024,373657,540233
5025,118372,150902
5026,1002193,1260346
5027,140410,225342
5028,52506,65460
5029,48166,54170
5030,123141,154742
5031,804224,955847
5032,78555,106164
5033,6845358,7608526
5034,62292,75044
5035,81976,90161
5036,97584,126682
5037,570418,986508
5038,173825,302413
5039,227776,272995
5040,32758,42580
5041,44911,58994
